HRLM,TC,GSR,INCLY,INCLZ,INCLX
19,32.5,505,-0.0544004392,86.5069503784,-3.6036756038
19,32.5,505,-0.0272825956,86.441871643,-3.7734477519
19,32.3125,505,0.0680636167,86.2715911865,-3.6002395153
19,32.5,505,-0.1499115371,86.4422760009,-3.494746685
19,32.5,505,-0.0545716094,86.5504760742,-3.4670507907
19,32.4375,506,-0.3397017002,86.5619583129,-3.3401477336
19,32.375,505,-0.1771323585,86.7007980346,-3.5238375663
19,32.5,511,0.2311493158,86.5142211914,-3.6289839744
19,32.5,505,,86.4166641235,-3.2744731903
19,32.5,511,-0.1227260589,86.768875122,-3.8151065826
19,32.5,505,-0.0271337461,86.2304458618,-3.5848777294
19,32.3125,505,-0.1757476091,86.456451416,-3.7016005516
19,32.5625,505,-0.1091964721,86.3424301147,-3.7297251224
19,32.375,505,-0.1365237236,86.3134155273,-3.2698163986
19,32.375,505,0.0136168479,86.7758026123,-3.5773003101
19,32.5,505,,86.4683532714,-3.6011064052
19,32.375,505,-0.0136315846,86.4445114135,-3.4617483615
19,32.4375,505,0.0136206507,86.583869934,-3.5917699337
19,32.5,505,-0.0136479866,86.4538574218,-3.5840945243
19,32.4375,505,-0.0272377204,86.4614486694,-3.5297191143
19,32.375,505,-0.0817179298,86.5149841308,-3.3873820304
19,32.375,511,-0.2184141635,86.651222229,-3.6980807781
19,32.375,505,-0.1090927963,86.345954895,-3.8423540115
19,32.5,510,-0.150300002,86.2003479003,-3.7518274784
19,32.375,505,-0.2173425197,86.2875137329,-3.5602872371
19,32.5625,505,-0.0817931175,86.4844207763,-3.5976870059
19,32.5625,505,-0.0136186587,86.4479370117,-3.5372753143
19,32.3125,506,0.1091902141,86.5066833496,-3.6095600128
19,32.375,505,0.0952839183,86.4348297119,-3.4944279193
19,32.375,505,-0.0410854673,86.5509796142,-3.6603863239
19,32.3125,505,-0.2719638347,86.3751449584,-3.6691248416
19,32.5,505,-0.0272611188,86.3764266967,-3.424795866
19,32.375,505,-0.0407471323,86.6206130981,-3.434546709
19,32.375,512,-0.1362101316,86.6083984375,-3.9701614379
19,32.4375,505,-0.0954258823,86.0743331909,-3.6479823589
19,32.5,512,-0.0955754852,86.3964157104,-3.5407845973
19,32.5,506,0.1360975623,86.5022430419,-3.6766076087
19,32.4375,505,0.0952541542,86.3678054809,-3.5883543491
19,32.375,505,0.0136350262,86.4572677612,-3.302466154
19,32.375,505,-0.2318637609,86.7350311279,-3.6104066371
19,32.4375,505,-0.1633822917,86.4315338134,-3.6308805942
19,32.1875,505,-0.2046124696,86.408996582,-3.5679612159
19,32.5,505,0.0136093807,86.4776611328,-3.7359511852
19,32.4375,505,-0.1230761528,86.3076629638,-3.5527789592
19,32.4375,505,-0.1355155706,86.4902801513,-3.3457231521
19,32.375,506,-0.0955378627,86.698562622,-3.4383471012
19,32.3125,505,-0.1222395181,86.6051254272,-3.6274163722
19,32.4375,511,-0.2589291572,86.4089813232,-3.5611953735
19,32.3125,505,-0.1086689357,86.4827880859,-3.5713016986
19,32.375,510,-0.2051148891,86.4684448242,-3.3785192966
19,32.4375,505,0.0406814956,86.6668777465,-3.5713419914
19,32.3125,505,-0.1226004481,86.4721984863,-3.6062450408
19,32.375,505,-0.0819060897,86.4384765625,-3.7015919685
19,32.375,505,-0.1637944602,86.3404235839,-3.4948685169
19,32.375,505,-0.0539413833,86.5503616333,-3.4363820552
19,32.4375,506,-0.396797657,86.5863800048,-3.7406842708
19,32.4375,505,0.0818547058,86.304069519,-3.4104194641
19,32.4375,505,-0.1493726348,86.6319580078,-3.4997422695
19,32.375,505,-0.0273247528,86.5457992553,-3.8926105499
19,32.375,505,-0.2168434381,86.1469802856,-3.2562198638
19,32.4375,505,-0.0544681119,86.7889709472,-3.6035790443
19,32.4375,511,,86.4420700073,-3.4456977844
19,32.375,505,,86.5999526977,-3.3777506351
19,32.5,506,-0.136120963,86.6651535034,-3.5298900604
19,32.375,505,-0.1763832569,86.5113372802,-3.4605281352
19,32.4375,505,-0.2169998645,86.5783081054,-3.4138469696
19,32.375,505,-0.0409419584,86.6315612792,-3.3697686195
19,32.375,506,-0.0409048032,86.6756286621,-3.5117058753
19,32.3125,505,-0.0409670448,86.533706665,-3.4922566413
19,32.5,505,0.0136331903,86.5533676147,-3.654654026
19,32.4375,505,0.0136275315,86.3909759521,-3.3017075061
